ticker,date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
^DJI,2000-01-03,11501.85,11641.07,11180.98,11357.51,931800000
^DJI,2000-01-04,11349.75,11358.44,10907.03,10997.93,1009000000
^DJI,2000-01-05,10989.37,11337.65,10862.66,11122.65,1085500000
^DJI,2000-01-06,11113.37,11447.79,10963.18,11253.26,1092300000
^DJI,2000-01-07,11247.06,11655.65,11168.26,11522.56,1225200000
^DJI,2000-01-10,11532.48,11765.17,11427,11572.2,1064800000
^DJI,2000-01-11,11568.47,11748.11,11398.3,11511.08,1014000000
^DJI,2000-01-12,11506.73,11751.83,11385.74,11551.1,974600000
^DJI,2000-01-13,11558.24,11761.14,11421.42,11582.43,1030400000
^DJI,2000-01-14,11619.35,11908.5,11506.42,11722.98,1085900000
^DJI,2000-01-18,11719.19,11834.67,11397.22,11560.72,1056700000
^DJI,2000-01-19,11535.24,11710.57,11320.28,11489.36,1087800000
^DJI,2000-01-20,11490.29,11654.72,11194.32,11351.3,1100700000
^DJI,2000-01-21,11356.26,11513.87,11113.65,11251.71,1209800000
^DJI,2000-01-24,11251.94,11501.15,10849.01,11008.17,1115800000
^DJI,2000-01-25,11010.96,11228.75,10779.83,11029.89,1073700000
^DJI,2000-01-26,11025.85,11280.87,10870.73,11032.99,1117300000
^DJI,2000-01-27,11035.55,11274.36,10818.3,11028.02,1129500000
^DJI,2000-01-28,11024.92,11115.2,10649.21,10738.87,1095800000
^DJI,2000-01-31,10735.77,11059.67,10610.43,10940.53,993800000
^DJI,2000-02-01,10937.74,11187.18,10798.44,11041.05,981000000
^DJI,2000-02-02,11037.64,11228.44,10876,11003.2,1038600000
^DJI,2000-02-03,11010.48,11207.97,10799.68,11013.44,1146500000
^DJI,2000-02-04,11014.37,11200.83,10847.54,10963.8,1045100000
^DJI,2000-02-07,10965.97,11097.52,10732.67,10905.79,918100000
^DJI,2000-02-08,10904.26,11139.4,10826.67,10957.6,1047700000
^DJI,2000-02-09,10948.82,11016.54,10647.97,10699.16,1050500000
^DJI,2000-02-10,10697.92,10853.67,10491.3,10643.63,1058800000
^DJI,2000-02-11,10638.64,10763.38,10301.12,10425.21,1025700000
^DJI,2000-02-14,10431.65,10674.96,10327.56,10519.84,927300000
^DJI,2000-02-15,10520.15,10821.09,10377.44,10718.09,1092100000
^DJI,2000-02-16,10711.82,10831.64,10468.65,10561.41,1018800000
^DJI,2000-02-17,10565.76,10768.66,10348.66,10514.57,1034800000
^DJI,2000-02-18,10514.57,10562.34,10129.24,10219.52,1042300000
^DJI,2000-02-22,10219.83,10446.62,10011.66,10304.84,980000000
^DJI,2000-02-23,10294.82,10443.21,10077.74,10225.73,993700000
^DJI,2000-02-24,10242.48,10321.9,9877.94,10092.63,1215000000
^DJI,2000-02-25,10090.77,10196.02,9767.8,9862.12,1065200000
^DJI,2000-02-28,9854.66,10228.52,9760.36,10038.65,1026500000
^DJI,2000-02-29,10039.58,10332.14,9926.65,10128.31,1204300000
^DJI,2000-03-01,10128.11,10355.72,9935.96,10137.93,1274100000
^DJI,2000-03-02,10135.44,10361.61,9986.53,10164.92,1198600000
^DJI,2000-03-03,10171.12,10581.89,10148.16,10367.2,1150300000
^DJI,2000-03-06,10358.96,10518.91,10038.65,10170.5,1029000000
^DJI,2000-03-07,10197.61,10208.66,9651.77,9796.03,1314100000
^DJI,2000-03-08,9800.69,10037.41,9611.75,9856.53,1203000000
^DJI,2000-03-09,9855.29,10097.28,9667.28,10010.73,1123000000
^DJI,2000-03-10,10008.55,10211.77,9792.93,9928.82,1138800000
^DJI,2000-03-13,9911.22,10111.25,9670.07,9947.13,1016100000
^DJI,2000-03-14,9957.67,10149.41,9747.33,9811.24,1094000000
^DJI,2000-03-15,9808.15,10294.6,9676.9,10131.41,1302800000
^DJI,2000-03-16,10139.58,10716.23,10139.58,10630.6,1482300000
^DJI,2000-03-17,10629.98,10849.32,10399.15,10595.23,1295100000
^DJI,2000-03-20,10594.75,10866.08,10456.86,10680.24,920800000
^DJI,2000-03-21,10680.24,11012.2,10515.5,10907.34,1065900000
^DJI,2000-03-22,10916.96,11054.71,10671.86,10866.7,1075000000
^DJI,2000-03-23,10884.38,11224.72,10737.63,11119.86,1078300000
^DJI,2000-03-24,11107.45,11311.28,10901.44,11112.72,1052200000
^DJI,2000-03-27,11093.25,11274.98,10881.9,11025.85,901000000
^DJI,2000-03-28,11023.68,11192.76,10804.65,10936.11,959100000
^DJI,2000-03-29,10939.05,11214.48,10792.24,11018.72,1061900000
^DJI,2000-03-30,11008.17,11258.23,10796.58,10980.25,1193400000
^DJI,2000-03-31,10993.28,11244.58,10801.23,10921.92,1227400000
^DJI,2000-04-03,10863.28,11344.17,10821.71,11221.93,1021700000
^DJI,2000-04-04,11225.34,11531.24,10682.72,11164.84,1515460000
^DJI,2000-04-05,11163.29,11326.79,10894,11033.92,1110300000
^DJI,2000-04-06,11029.56,11303.83,10921.07,11114.27,1008000000
