Date,Dividends
2013-06-12,0.280000
2013-03-13,0.280000
2012-11-28,0.255000
2012-09-12,0.255000
2012-06-13,0.255000
2012-03-13,0.255000
2011-11-29,0.235000
2011-09-13,0.235000
2011-06-13,0.235000
2011-03-11,0.235000
2010-11-29,0.220000
2010-09-13,0.220000
2010-06-11,0.220000
2010-03-11,0.220000
2009-11-27,0.205000
2009-09-11,0.205000
2009-06-11,0.205000
2009-03-11,0.205000
2008-11-26,0.190000
2008-09-11,0.190000
2008-06-11,0.190000
2008-03-12,0.190000
2007-11-28,0.170000
2007-09-12,0.170000
2007-06-13,0.170000
2007-03-13,0.170000
2006-11-29,0.155000
2006-09-13,0.155000
2006-06-13,0.155000
2006-03-13,0.155000
2005-11-29,0.140000
2005-09-13,0.140000
2005-06-13,0.140000
2005-03-11,0.140000
2004-11-29,0.125000
2004-09-13,0.125000
2004-06-14,0.125000
2004-03-11,0.125000
2003-11-26,0.110000
2003-09-11,0.110000
2003-06-11,0.110000
2003-03-12,0.110000
2002-11-26,0.100000
2002-09-11,0.100000
2002-06-12,0.100000
2002-03-13,0.100000
2001-11-28,0.090000
2001-09-12,0.180000
2001-06-13,0.090000
2001-03-13,0.090000
2000-11-29,0.085000
2000-09-13,0.085000
2000-06-13,0.085000
2000-03-13,0.085000
